日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20260430,ＴＯＹＯ　ＴＩＲＥ,5105,ゴム製品,0.0462%,TOPIX Mid400
20260430,ブリヂストン,5108,ゴム製品,0.3420%,TOPIX Large70
20260430,住友ゴム工業,5110,ゴム製品,0.0417%,TOPIX Mid400
20260430,藤倉コンポジット,5121,ゴム製品,0.0040%,TOPIX Small 2
20260430,オカモト,5122,ゴム製品,0.0057%,TOPIX Small 2
20260430,アキレス,5142,化学,0.0014%,TOPIX Small 2
20260430,フコク,5185,ゴム製品,0.0016%,TOPIX Small 2
20260430,ニッタ,5186,ゴム製品,0.0084%,TOPIX Small 2
20260430,三ツ星ベルト,5192,ゴム製品,0.0096%,TOPIX Small 1
20260430,バンドー化学,5195,ゴム製品,0.0058%,TOPIX Small 2
20260430,ＡＧＣ,5201,ガラス・土石製品,0.1041%,TOPIX Mid400
20260430,日本板硝子,5202,ガラス・土石製品,0.0053%,TOPIX Small 1
20260430,有沢製作所,5208,化学,0.0091%,TOPIX Small 1
20260430,日本電気硝子,5214,ガラス・土石製品,0.0520%,TOPIX Mid400
20260430,オハラ,5218,ガラス・土石製品,0.0009%,TOPIX Small 2
20260430,住友大阪セメント,5232,ガラス・土石製品,0.0125%,TOPIX Mid400
20260430,太平洋セメント,5233,ガラス・土石製品,0.0421%,TOPIX Mid400
20260430,日本ヒューム,5262,ガラス・土石製品,0.0039%,TOPIX Small 1
20260430,日本コンクリート工業,5269,ガラス・土石製品,0.0012%,TOPIX Small 2
20260430,三谷セキサン,5273,ガラス・土石製品,0.0054%,TOPIX Small 2
20260430,アジアパイルホールディングス,5288,ガラス・土石製品,0.0042%,TOPIX Small 2
20260430,東海カーボン,5301,ガラス・土石製品,0.0216%,TOPIX Mid400
20260430,日本カーボン,5302,ガラス・土石製品,0.0053%,TOPIX Small 1
20260430,東洋炭素,5310,ガラス・土石製品,0.0100%,TOPIX Small 1
20260430,ノリタケ,5331,ガラス・土石製品,0.0138%,TOPIX Small 1
20260430,ＴＯＴＯ,5332,ガラス・土石製品,0.0644%,TOPIX Mid400
20260430,ＮＧＫ,5333,ガラス・土石製品,0.1035%,TOPIX Mid400
20260430,日本特殊陶業,5334,ガラス・土石製品,0.1316%,TOPIX Mid400
20260430,ＭＡＲＵＷＡ,5344,ガラス・土石製品,0.0584%,TOPIX Mid400
20260430,品川リフラ,5351,ガラス・土石製品,0.0045%,TOPIX Small 1
20260430,ヨータイ,5357,ガラス・土石製品,0.0019%,TOPIX Small 2
20260430,フジミインコーポレーテッド,5384,ガラス・土石製品,0.0184%,TOPIX Small 1
20260430,ニチアス,5393,ガラス・土石製品,0.0464%,TOPIX Mid400
20260430,日本製鉄,5401,鉄鋼,0.3073%,TOPIX Large70
20260430,神戸製鋼所,5406,鉄鋼,0.0763%,TOPIX Mid400
20260430,中山製鋼所,5408,鉄鋼,0.0024%,TOPIX Small 2
20260430,合同製鐵,5410,鉄鋼,0.0031%,TOPIX Small 1
20260430,ＪＦＥホールディングス,5411,鉄鋼,0.1096%,TOPIX Mid400
20260430,東京製鐵,5423,鉄鋼,0.0093%,TOPIX Small 1
20260430,ＡＲＣＨＩＯＮ,543A,輸送用機器,0.0087%,TOPIX Small 1
20260430,共英製鋼,5440,鉄鋼,0.0043%,TOPIX Small 1
20260430,大和工業,5444,鉄鋼,0.0423%,TOPIX Mid400
20260430,東京鐵鋼,5445,鉄鋼,0.0039%,TOPIX Small 1
20260430,大阪製鐵,5449,鉄鋼,0.0022%,TOPIX Small 2
20260430,ＧＭＳグループ,544A,機械,0.0010%,TOPIX Small 2
20260430,ヨドコウ,5451,鉄鋼,0.0149%,TOPIX Small 1
20260430,トランヴィア,545A,情報・通信業,0.0010%,TOPIX Small 2
20260430,中部鋼鈑,5461,鉄鋼,0.0041%,TOPIX Small 1
20260430,丸一鋼管,5463,鉄鋼,0.0287%,TOPIX Mid400
20260430,モリ工業,5464,鉄鋼,0.0021%,TOPIX Small 2
20260430,ＭＩＲＡＩＮＩホールディングス,546A,卸売業,0.0057%,TOPIX Small 2
20260430,大同特殊鋼,5471,鉄鋼,0.0254%,TOPIX Mid400
20260430,ムニノバホールディングス,547A,その他金融業,0.0143%,TOPIX Small 1
20260430,日本冶金工業,5480,鉄鋼,0.0060%,TOPIX Small 1
20260430,愛知製鋼,5482,鉄鋼,0.0106%,TOPIX Small 1
20260430,大平洋金属,5541,鉄鋼,0.0042%,TOPIX Small 2
20260430,新日本電工,5563,鉄鋼,0.0046%,TOPIX Small 1
20260430,栗本鐵工所,5602,鉄鋼,0.0069%,TOPIX Small 1
20260430,日本製鋼所,5631,機械,0.0554%,TOPIX Mid400
20260430,三菱製鋼,5632,鉄鋼,0.0024%,TOPIX Small 2
20260430,日本精線,5659,鉄鋼,0.0022%,TOPIX Small 2
20260430,エンビプロ・ホールディングス,5698,鉄鋼,0.0019%,TOPIX Small 2
20260430,大紀アルミニウム工業所,5702,非鉄金属,0.0041%,TOPIX Small 1
20260430,日本軽金属ホールディングス,5703,非鉄金属,0.0164%,TOPIX Small 1
20260430,三井金属,5706,非鉄金属,0.2083%,TOPIX Mid400
20260430,東邦亜鉛,5707,非鉄金属,0.0019%,TOPIX Small 2
20260430,三菱マテリアル,5711,非鉄金属,0.0669%,TOPIX Mid400
20260430,住友金属鉱山,5713,非鉄金属,0.2543%,TOPIX Mid400
20260430,ＤＯＷＡホールディングス,5714,非鉄金属,0.0503%,TOPIX Mid400
20260430,古河機械金属,5715,非鉄金属,0.0086%,TOPIX Small 1
20260430,大阪チタニウムテクノロジーズ,5726,非鉄金属,0.0086%,TOPIX Small 1
20260430,東邦チタニウム,5727,非鉄金属,0.0119%,TOPIX Small 1
20260430,ＵＡＣＪ,5741,非鉄金属,0.0327%,TOPIX Small 1
20260430,ＣＫサンエツ,5757,非鉄金属,0.0020%,TOPIX Small 2
20260430,古河電気工業,5801,非鉄金属,0.2778%,TOPIX Mid400
20260430,住友電気工業,5802,非鉄金属,0.6930%,TOPIX Large70
20260430,フジクラ,5803,非鉄金属,0.9079%,TOPIX Large70
20260430,ＳＷＣＣ,5805,非鉄金属,0.0453%,TOPIX Small 1
20260430,平河ヒューテック,5821,非鉄金属,0.0048%,TOPIX Small 2
20260430,いよぎんホールディングス,5830,銀行業,0.0743%,TOPIX Mid400
20260430,しずおかフィナンシャルグループ,5831,銀行業,0.1139%,TOPIX Mid400
20260430,ちゅうぎんフィナンシャルグループ,5832,銀行業,0.0463%,TOPIX Mid400
20260430,楽天銀行,5838,銀行業,0.0628%,TOPIX Mid400
20260430,京都フィナンシャルグループ,5844,銀行業,0.1119%,TOPIX Mid400
20260430,リョービ,5851,非鉄金属,0.0058%,TOPIX Small 1
20260430,ＡＲＥホールディングス,5857,非鉄金属,0.0306%,TOPIX Small 1
20260430,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,5889,小売業,0.0019%,TOPIX Small 2
20260430,東洋製罐グループホールディングス,5901,金属製品,0.0319%,TOPIX Mid400
20260430,ホッカンホールディングス,5902,金属製品,0.0023%,TOPIX Small 2
20260430,コロナ,5909,金属製品,0.0010%,TOPIX Small 2
20260430,横河ブリッジホールディングス,5911,金属製品,0.0099%,TOPIX Small 1
20260430,三和ホールディングス,5929,金属製品,0.0676%,TOPIX Mid400
20260430,文化シヤッター,5930,金属製品,0.0114%,TOPIX Small 1
20260430,三協立山,5932,金属製品,0.0016%,TOPIX Small 2
20260430,アルインコ,5933,金属製品,0.0015%,TOPIX Small 2
20260430,ＬＩＸＩＬ,5938,金属製品,0.0498%,TOPIX Mid400
20260430,ノーリツ,5943,金属製品,0.0081%,TOPIX Small 1
20260430,長府製作所,5946,金属製品,0.0039%,TOPIX Small 2
20260430,リンナイ,5947,金属製品,0.0359%,TOPIX Mid400
20260430,ユニプレス,5949,輸送用機器,0.0046%,TOPIX Small 1
20260430,日東精工,5957,金属製品,0.0020%,TOPIX Small 2
20260430,岡部,5959,金属製品,0.0032%,TOPIX Small 2
20260430,ジーテクト,5970,金属製品,0.0045%,TOPIX Small 1
20260430,東プレ,5975,金属製品,0.0083%,TOPIX Small 1
20260430,高周波熱錬,5976,金属製品,0.0036%,TOPIX Small 2
20260430,東京製綱,5981,金属製品,0.0020%,TOPIX Small 2
20260430,サンコール,5985,金属製品,0.0033%,TOPIX Small 2
20260430,パイオラックス,5988,金属製品,0.0033%,TOPIX Small 1
20260430,エイチワン,5989,金属製品,0.0026%,TOPIX Small 2
20260430,日本発條,5991,金属製品,0.0426%,TOPIX Mid400
20260430,中央発條,5992,金属製品,0.0048%,TOPIX Small 2
20260430,三浦工業,6005,機械,0.0289%,TOPIX Mid400
20260430,タクマ,6013,機械,0.0149%,TOPIX Small 1
20260430,弁護士ドットコム,6027,サービス業,0.0024%,TOPIX Small 2
20260430,アイ・アールジャパンホールディングス,6035,サービス業,0.0007%,TOPIX Small 2
20260430,ＫｅｅＰｅｒ技研,6036,サービス業,0.0036%,TOPIX Small 1
20260430,Ｇｕｎｏｓｙ,6047,サービス業,0.0008%,TOPIX Small 2
20260430,イー・ガーディアン,6050,サービス業,0.0010%,TOPIX Small 2
20260430,ジャパンマテリアル,6055,サービス業,0.0107%,TOPIX Small 1
20260430,ベクトル,6058,サービス業,0.0033%,TOPIX Small 2
20260430,チャーム・ケア・コーポレーション,6062,サービス業,0.0021%,TOPIX Small 2
20260430,キャリアリンク,6070,サービス業,0.0017%,TOPIX Small 2
20260430,ＩＢＪ,6071,サービス業,0.0011%,TOPIX Small 2
20260430,アサンテ,6073,サービス業,0.0014%,TOPIX Small 2
20260430,バリューＨＲ,6078,サービス業,0.0025%,TOPIX Small 2
20260430,Ｍ＆Ａキャピタルパートナーズ,6080,サービス業,0.0051%,TOPIX Small 1
20260430,ライドオンエクスプレスホールディングス,6082,サービス業,0.0008%,TOPIX Small 2
20260430,シグマクシス・ホールディングス,6088,サービス業,0.0035%,TOPIX Small 1
20260430,ウィルグループ,6089,サービス業,0.0020%,TOPIX Small 2
20260430,リクルートホールディングス,6098,サービス業,0.9978%,TOPIX Core30
20260430,エラン,6099,サービス業,0.0013%,TOPIX Small 2
20260430,ツガミ,6101,機械,0.0193%,TOPIX Small 1
20260430,オークマ,6103,機械,0.0151%,TOPIX Small 1
20260430,芝浦機械,6104,機械,0.0096%,TOPIX Small 1
20260430,アマダ,6113,機械,0.0715%,TOPIX Mid400
20260430,アイダエンジニアリング,6118,機械,0.0041%,TOPIX Small 1
20260430,ＦＵＪＩ,6134,機械,0.0466%,TOPIX Mid400
20260430,牧野フライス製作所,6135,機械,0.0233%,TOPIX Small 1
20260430,オーエスジー,6136,機械,0.0224%,TOPIX Mid400
20260430,旭ダイヤモンド工業,6140,機械,0.0058%,TOPIX Small 1
20260430,ＤＭＧ森精機,6141,機械,0.0387%,TOPIX Mid400
20260430,ソディック,6143,機械,0.0073%,TOPIX Small 1
20260430,ディスコ,6146,機械,0.6877%,TOPIX Large70
20260430,日東工器,6151,機械,0.0011%,TOPIX Small 2
20260430,日進工具,6157,機械,0.0014%,TOPIX Small 2
20260430,冨士ダイス,6167,機械,0.0014%,TOPIX Small 2
20260430,日本郵政,6178,サービス業,0.3221%,TOPIX Large70
20260430,ベルシステム２４ホールディングス,6183,サービス業,0.0040%,TOPIX Small 2
20260430,鎌倉新書,6184,サービス業,0.0009%,TOPIX Small 2
20260430,エアトリ,6191,サービス業,0.0012%,TOPIX Small 2
20260430,アトラエ,6194,サービス業,0.0010%,TOPIX Small 2
20260430,ストライクグループ,6196,サービス業,0.0043%,TOPIX Small 1
20260430,ソラスト,6197,サービス業,0.0053%,TOPIX Small 2
20260430,セラク,6199,情報・通信業,0.0008%,TOPIX Small 2
20260430,インソース,6200,サービス業,0.0033%,TOPIX Small 1
20260430,豊田自動織機,6201,輸送用機器,0.1425%,TOPIX Large70
20260430,リケンＮＰＲ,6209,機械,0.0086%,TOPIX Small 1
20260430,島精機製作所,6222,機械,0.0028%,TOPIX Small 1
20260430,オプトラン,6235,機械,0.0129%,TOPIX Small 1
20260430,イワキ,6237,機械,0.0035%,TOPIX Small 2
20260430,フリュー,6238,機械,0.0026%,TOPIX Small 2
20260430,ヤマシンフィルタ,6240,機械,0.0019%,TOPIX Small 2
20260430,日阪製作所,6247,機械,0.0036%,TOPIX Small 2
20260430,やまびこ,6250,機械,0.0122%,TOPIX Small 1
20260430,野村マイクロ・サイエンス,6254,機械,0.0127%,TOPIX Small 1
20260430,平田機工,6258,機械,0.0089%,TOPIX Small 1
20260430,ＰＥＧＡＳＵＳ,6262,機械,0.0019%,TOPIX Small 2
20260430,マルマエ,6264,機械,0.0036%,TOPIX Small 2
20260430,タツモ,6266,機械,0.0037%,TOPIX Small 2
20260430,ナブテスコ,6268,機械,0.0570%,TOPIX Mid400
20260430,三井海洋開発,6269,機械,0.0630%,TOPIX Mid400
20260430,レオン自動機,6272,機械,0.0034%,TOPIX Small 2
20260430,ＳＭＣ,6273,機械,0.4162%,TOPIX Large70
20260430,ホソカワミクロン,6277,機械,0.0086%,TOPIX Small 1
20260430,ユニオンツール,6278,機械,0.0141%,TOPIX Small 1
20260430,瑞光,6279,機械,0.0014%,TOPIX Small 2
20260430,オイレス工業,6282,機械,0.0062%,TOPIX Small 1
20260430,日精エー・エス・ビー機械,6284,機械,0.0061%,TOPIX Small 1
20260430,サトー,6287,機械,0.0055%,TOPIX Small 1
20260430,技研製作所,6289,機械,0.0031%,TOPIX Small 2
20260430,日本エアーテック,6291,機械,0.0011%,TOPIX Small 2
20260430,ワイエイシイホールディングス,6298,機械,0.0019%,TOPIX Small 2
20260430,小松製作所,6301,機械,0.6096%,TOPIX Large70
20260430,住友重機械工業,6302,機械,0.0601%,TOPIX Mid400
20260430,日立建機,6305,機械,0.0420%,TOPIX Mid400
20260430,日工,6306,機械,0.0030%,TOPIX Small 2
20260430,巴工業,6309,機械,0.0038%,TOPIX Small 2
20260430,井関農機,6310,機械,0.0030%,TOPIX Small 2
20260430,ＴＯＷＡ,6315,機械,0.0204%,TOPIX Small 1
20260430,北川鉄工所,6317,機械,0.0012%,TOPIX Small 2
20260430,ローツェ,6323,機械,0.0416%,TOPIX Mid400
20260430,ハーモニック・ドライブ・システムズ,6324,機械,0.0269%,TOPIX Small 2
20260430,クボタ,6326,機械,0.2490%,TOPIX Large70
20260430,荏原実業,6328,機械,0.0048%,TOPIX Small 2
20260430,東洋エンジニアリング,6330,建設業,0.0085%,TOPIX Small 2
20260430,三菱化工機,6331,機械,0.0065%,TOPIX Small 1
20260430,月島ホールディングス,6332,機械,0.0081%,TOPIX Small 1
20260430,ＴＥＩＫＯＫＵ,6333,機械,0.0034%,TOPIX Small 2
20260430,新東工業,6339,機械,0.0038%,TOPIX Small 2
20260430,澁谷工業,6340,機械,0.0062%,TOPIX Small 2
20260430,アイチ　コーポレーション,6345,機械,0.0039%,TOPIX Small 2
20260430,小森コーポレーション,6349,機械,0.0069%,TOPIX Small 1
20260430,鶴見製作所,6351,機械,0.0059%,TOPIX Small 2
20260430,酒井重工業,6358,機械,0.0015%,TOPIX Small 2
20260430,荏原製作所,6361,機械,0.2086%,TOPIX Mid400
20260430,酉島製作所,6363,機械,0.0047%,TOPIX Small 1
20260430,ＡＩＲＭＡＮ,6364,機械,0.0040%,TOPIX Small 2
20260430,ダイキン工業,6367,機械,0.5515%,TOPIX Core30
20260430,オルガノ,6368,機械,0.0418%,TOPIX Mid400
20260430,トーヨーカネツ,6369,機械,0.0044%,TOPIX Small 2
20260430,栗田工業,6370,機械,0.0979%,TOPIX Mid400
20260430,椿本チエイン,6371,機械,0.0196%,TOPIX Small 1
20260430,日機装,6376,精密機器,0.0118%,TOPIX Small 1
20260430,木村化工機,6378,機械,0.0019%,TOPIX Small 2
20260430,レイズネクスト,6379,建設業,0.0061%,TOPIX Small 2
20260430,アネスト岩田,6381,機械,0.0057%,TOPIX Small 2
20260430,ダイフク,6383,機械,0.2206%,TOPIX Mid400
20260430,サムコ,6387,機械,0.0060%,TOPIX Small 2
20260430,タダノ,6395,機械,0.0140%,TOPIX Small 1
20260430,ＣＫＤ,6407,機械,0.0351%,TOPIX Small 1
20260430,平和,6412,機械,0.0103%,TOPIX Small 1
20260430,理想科学工業,6413,機械,0.0032%,TOPIX Small 2
20260430,ＳＡＮＫＹＯ,6417,機械,0.0334%,TOPIX Mid400
20260430,日本金銭機械,6418,機械,0.0023%,TOPIX Small 2
20260430,マースグループホールディングス,6419,機械,0.0045%,TOPIX Small 1
20260430,ガリレイ,6420,機械,0.0101%,TOPIX Small 1
20260430,ダイコク電機,6430,機械,0.0022%,TOPIX Small 2
20260430,竹内製作所,6432,機械,0.0246%,TOPIX Small 1
20260430,アマノ,6436,機械,0.0182%,TOPIX Mid400
20260430,ＪＵＫＩ,6440,機械,0.0023%,TOPIX Small 2
20260430,ジャノメ,6445,機械,0.0016%,TOPIX Small 2
20260430,ブラザー工業,6448,電気機器,0.0714%,TOPIX Mid400
20260430,マックス,6454,機械,0.0180%,TOPIX Small 1
20260430,モリタホールディングス,6455,輸送用機器,0.0073%,TOPIX Small 2
20260430,グローリー,6457,機械,0.0202%,TOPIX Mid400
20260430,新晃工業,6458,機械,0.0063%,TOPIX Small 1
20260430,大和冷機工業,6459,機械,0.0057%,TOPIX Small 2
20260430,セガサミーホールディングス,6460,機械,0.0360%,TOPIX Mid400
20260430,ＴＰＲ,6463,機械,0.0052%,TOPIX Small 1
20260430,ツバキ・ナカシマ,6464,機械,0.0015%,TOPIX Small 2
20260430,ホシザキ,6465,機械,0.0633%,TOPIX Mid400
20260430,大豊工業,6470,機械,0.0017%,TOPIX Small 2
20260430,日本精工,6471,機械,0.0453%,TOPIX Mid400
20260430,ＮＴＮ,6472,機械,0.0196%,TOPIX Mid400
20260430,ジェイテクト,6473,機械,0.0348%,TOPIX Mid400
20260430,不二越,6474,機械,0.0072%,TOPIX Small 1
20260430,ミネベアミツミ,6479,電気機器,0.1048%,TOPIX Mid400
20260430,日本トムソン,6480,機械,0.0058%,TOPIX Small 2
20260430,ＴＨＫ,6481,機械,0.0599%,TOPIX Mid400
20260430,ＹＵＳＨＩＮ,6482,機械,0.0010%,TOPIX Small 2
20260430,前澤給装工業,6485,機械,0.0021%,TOPIX Small 2
20260430,イーグル工業,6486,機械,0.0060%,TOPIX Small 1
20260430,ＰＩＬＬＡＲ,6490,機械,0.0163%,TOPIX Small 1
20260430,キッツ,6498,機械,0.0144%,TOPIX Small 1
20260430,日立製作所,6501,電気機器,2.3707%,TOPIX Core30
20260430,三菱電機,6503,電気機器,1.3158%,TOPIX Core30
20260430,富士電機,6504,電気機器,0.1813%,TOPIX Mid400
20260430,安川電機,6506,電気機器,0.1156%,TOPIX Mid400
20260430,シンフォニアテクノロジー,6507,電気機器,0.0303%,TOPIX Small 1
20260430,明電舎,6508,電気機器,0.0302%,TOPIX Small 1
20260430,山洋電気,6516,電気機器,0.0154%,TOPIX Small 1
20260430,デンヨー,6517,電気機器,0.0051%,TOPIX Small 2
20260430,ＰＨＣホールディングス,6523,電気機器,0.0036%,TOPIX Small 1
20260430,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,6525,電気機器,0.1409%,TOPIX Mid400
20260430,ソシオネクスト,6526,電気機器,0.0310%,TOPIX Mid400
20260430,ベイカレント,6532,サービス業,0.0730%,TOPIX Mid400
20260430,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,6533,サービス業,0.0004%,TOPIX Small 2
20260430,アイモバイル,6535,サービス業,0.0015%,TOPIX Small 2
20260430,ＭＳ－Ｊａｐａｎ,6539,サービス業,0.0012%,TOPIX Small 2
20260430,ジャパンエレベーターサービスホールディングス,6544,サービス業,0.0264%,TOPIX Mid400
20260430,エル・ティー・エス,6560,サービス業,0.0005%,TOPIX Small 2
20260430,ミダックホールディングス,6564,サービス業,0.0021%,TOPIX Small 2
20260430,キュービーネットホールディングス,6571,サービス業,0.0013%,TOPIX Small 2
20260430,オープングループ,6572,サービス業,0.0006%,TOPIX Small 2
20260430,三櫻工業,6584,輸送用機器,0.0022%,TOPIX Small 2
20260430,マキタ,6586,機械,0.1407%,TOPIX Mid400
20260430,東芝テック,6588,電気機器,0.0067%,TOPIX Small 1
20260430,芝浦メカトロニクス,6590,電気機器,0.0286%,TOPIX Small 1
20260430,マブチモーター,6592,電気機器,0.0274%,TOPIX Mid400
20260430,ユー・エム・シー・エレクトロニクス,6615,電気機器,0.0003%,TOPIX Small 2
20260430,トレックス・セミコンダクター,6616,電気機器,0.0015%,TOPIX Small 2
20260430,東光高岳,6617,電気機器,0.0079%,TOPIX Small 2
20260430,ダブル・スコープ,6619,電気機器,0.0016%,TOPIX Small 2
20260430,宮越ホールディングス,6620,不動産業,0.0005%,TOPIX Small 2
20260430,ダイヘン,6622,電気機器,0.0273%,TOPIX Small 1
20260430,ヤーマン,6630,電気機器,0.0027%,TOPIX Small 1
20260430,ＪＶＣケンウッド,6632,電気機器,0.0177%,TOPIX Mid400
20260430,ミマキエンジニアリング,6638,電気機器,0.0024%,TOPIX Small 2
20260430,大崎電気工業,6644,電気機器,0.0075%,TOPIX Small 2
20260430,オムロン,6645,電気機器,0.0902%,TOPIX Mid400
20260430,日東工業,6651,電気機器,0.0105%,TOPIX Small 1
20260430,ＩＤＥＣ,6652,電気機器,0.0083%,TOPIX Small 1
20260430,ジーエス・ユアサ　コーポレーション,6674,電気機器,0.0498%,TOPIX Mid400
20260430,バッファロー,6676,電気機器,0.0025%,TOPIX Small 2
20260430,テクノメディカ,6678,電気機器,0.0008%,TOPIX Small 2
20260430,ダイヤモンドエレクトリックホールディングス,6699,電気機器,0.0005%,TOPIX Small 2
20260430,日本電気,6701,電気機器,0.5191%,TOPIX Large70
20260430,富士通,6702,電気機器,0.5641%,TOPIX Large70
20260430,沖電気工業,6703,電気機器,0.0312%,TOPIX Small 1
20260430,電気興業,6706,電気機器,0.0023%,TOPIX Small 2
20260430,サンケン電気,6707,電気機器,0.0184%,TOPIX Mid400
20260430,アイホン,6718,電気機器,0.0028%,TOPIX Small 2
20260430,ルネサスエレクトロニクス,6723,電気機器,0.6004%,TOPIX Large70
20260430,セイコーエプソン,6724,電気機器,0.0503%,TOPIX Mid400
20260430,ワコム,6727,電気機器,0.0083%,TOPIX Small 1
20260430,アルバック,6728,電気機器,0.0481%,TOPIX Mid400
20260430,アクセル,6730,電気機器,0.0010%,TOPIX Small 2
20260430,ＥＩＺＯ,6737,電気機器,0.0056%,TOPIX Small 1
20260430,ジャパンディスプレイ,6740,電気機器,0.0111%,TOPIX Small 2
20260430,日本信号,6741,電気機器,0.0082%,TOPIX Small 2
20260430,京三製作所,6742,電気機器,0.0031%,TOPIX Small 2
20260430,能美防災,6744,電気機器,0.0107%,TOPIX Small 1
20260430,ホーチキ,6745,電気機器,0.0087%,TOPIX Small 2
20260430,エレコム,6750,電気機器,0.0075%,TOPIX Small 1
20260430,パナソニック　ホールディングス,6752,電気機器,0.7295%,TOPIX Large70
20260430,シャープ,6753,電気機器,0.0130%,TOPIX Mid400
20260430,アンリツ,6754,電気機器,0.0509%,TOPIX Mid400
20260430,ソニーグループ,6758,電気機器,2.0497%,TOPIX Core30
20260430,ＴＤＫ,6762,電気機器,0.4813%,TOPIX Large70
20260430,帝国通信工業,6763,電気機器,0.0023%,TOPIX Small 2
20260430,タムラ製作所,6768,電気機器,0.0064%,TOPIX Small 1
20260430,アルプスアルパイン,6770,電気機器,0.0352%,TOPIX Mid400
20260430,日本電波工業,6779,電気機器,0.0044%,TOPIX Small 2
20260430,鈴木,6785,電気機器,0.0036%,TOPIX Small 2
20260430,メイコー,6787,電気機器,0.0545%,TOPIX Small 1
20260430,日本トリム,6788,電気機器,0.0018%,TOPIX Small 2
20260430,フォスター電機,6794,電気機器,0.0053%,TOPIX Small 2
20260430,ＳＭＫ,6798,電気機器,0.0015%,TOPIX Small 2
20260430,ヨコオ,6800,電気機器,0.0075%,TOPIX Small 2
20260430,ホシデン,6804,電気機器,0.0104%,TOPIX Small 1
20260430,ヒロセ電機,6806,電気機器,0.0612%,TOPIX Mid400
20260430,日本航空電子工業,6807,電気機器,0.0109%,TOPIX Small 1
20260430,ＴＯＡ,6809,電気機器,0.0034%,TOPIX Small 2
20260430,マクセル,6810,電気機器,0.0080%,TOPIX Small 1
20260430,古野電気,6814,電気機器,0.0180%,TOPIX Small 1
20260430,スミダコーポレーション,6817,電気機器,0.0045%,TOPIX Small 2
20260430,アイコム,6820,電気機器,0.0022%,TOPIX Small 2
20260430,リオン,6823,電気機器,0.0027%,TOPIX Small 2
20260430,横河電機,6841,電気機器,0.1103%,TOPIX Mid400
20260430,新電元工業,6844,電気機器,0.0027%,TOPIX Small 2
20260430,アズビル,6845,電気機器,0.0646%,TOPIX Mid400
